Subject,AUC,Best_Threshold,Best_F1
S01,0.8599648755597677,0.34552714228630066,0.46115906288532676
S02,0.9515424663764669,0.2723259925842285,0.6871055004508566
S03,0.9104976758488833,0.3122275769710541,0.607645875251509
S04,,,
S05,0.5773194965419004,0.2719303071498871,0.4565667011375388
S06,0.8253813692197085,0.324853777885437,0.41448692152917505
S07,0.9108459589593628,0.34991970658302307,0.46900269541778977
S08,0.39330706023268863,0.2378091961145401,0.4416535845107274
S09,0.7044096348271158,0.3703076243400574,0.48521916411824667
S10,,,
