Subject,AUC,Best_Threshold,Best_F1
S01,0.826587674,0.330194324,0.322350846
S02,0.926639015,0.309540391,0.646696035
S03,0.881932232,0.303523391,0.558297049
S04,,,
S05,0.587825129,0.244270205,0.468216319
S06,0.834887874,0.305195481,0.396518375
S07,0.86290902,0.329541683,0.318264014
S08,0.503453056,0.216299221,0.448447205
S09,0.856861463,0.256199419,0.588382261
S10,,,
Mean,0.785136933,,0.468396513
